;;Grammaire ;Vocabulaire;Activités communicatives;Devoirs;
;;;;Présentation du cours;Lire le texte 1 page 6;
séance 1;19-set;;;Présentation du groupe;Rechercher le vocabulaire;
;;;;;;
;;identification et description page 9;;Des logements insolites page 6;"Rédaction : 
Raconter dans un court texte comment est ton quartier et ton logement. Est-ce que tu aimes l'endroit où tu habites ou pas ? Pourquoi ? 
10 lignes maximum";
séance 2;21-set;;;Le logement page 8;;
;;;;;;
;;Les pronoms relatifs;;discussion page 13;Revoir la vidéo n°1;
séance 3;26-set;;;vidéo 1;Exercice 2 p12;
;;;;;;
;;Exercice 2 p12;Le petit déjeuner;Dialogue sur la ville ;"Rédaction : 
Raconter dans un court texte comment est ton quartier et ton logement. Est-ce que tu aimes l'endroit où tu habites ou pas ? Pourquoi ? 
10 lignes maximum";
séance 4;28-set;Révision des partitifs;;;;
;;;;;;
;;La comparaison page 16;;Les pires souvenirs de voyage ;Relire la transcription;
séance 5;03-ott;;;Audio 1 + Questions;;
;;;;;;
;;Les déterminants et les pronoms possessifs;;Discussion sur le fait de vivre dans une rue animée pages 21 et 22;Faire des exercices d'entrainement sur internet pour la page 16 et la page 18;
séance 6;05-ott;Introduction au conditionnel présent;;;;
;;;;;;
;;;;;Rédaction page 17;
séance 7;10-ott;;;;;
;;;;;;
;;;;;;
séance 8;12-ott;;;;;
;;;;;;
;;;;;;
séance 9;17-ott;;;;;
;;;;;;
;;;;;;
séance 10;19-ott;;;;;
;;;;;;
;;;;;;
;;;;;;
séance 11;24-ott;;;;;
;;;;;;
;;;;;;
;;;;;;
séance 12;26-ott;;;;;
;;;;;;
;;;;;;
;;;;;;
séance 13;07-nov;;;;;
;;;;;;
;;;;;;
séance 14;09-nov;;;;;
;;;;;;
;;;;;;
séance 15;14-nov;;;;;
;;;;;;
;;;;;;
séance 16;16-nov;;;;;
;;;;;;
;;;;;;
séance 17;21-nov;;;;;
;;;;;;
;;;;;;
séance 18;23-nov;;;;;
;;;;;;
;;;;;;
séance 19;28-nov;;;;;
;;;;;;
;;;;;;
séance 20;30-nov;;;;;
;;;;;;
;;;;;;
séance 21;05-dic;;;;;
;;;;;;"exemples avec ""or"" : UV/liens logiques"
;;;;;;
séance 22;07-dic;;;;;
;;;;;;
;;;;;;
;;;;;;
séance 23;12-dic;;;;;
;;;;;;
;;;;;;
;;;;;;
séance 24;14-dic;Examen;;;;
;;;;;;
;;;;;;
séance 25;19-dic;Correction de l'examen;;Fin du cours;;
;;;;;;
